Class,g1,g2,g3,g4
3,112.37,330.9,4.76,88
2,61.11,395.57,3.72,80
2,58.13,376.51,7.09,58
3,69.56,507.76,1.95,80
3,102.67,449.44,0.77,80
3,57.72,543.24,9.93,89
3,63.66,1120.34,7.09,89
3,108.37,853.73,3.6,70
3,64.93,473.1,10.15,69
2,29.76,182.06,29.33,68
3,38.87,291.47,58.11,65
3,64.35,437.91,20.7,95
2,41.27,240.84,7.22,70
2,26.59,350.59,8.73,82
2,60.29,11,0,0
1,39.22,119.26,1.69,53
3,109.18,783.33,3.28,85
2,104.78,624.62,2.08,85
3,121.67,879.87,2.08,85
2,103.61,917.49,1.98,80
3,83.81,624.97,1.29,85
3,124.22,1105.47,4.27,100
3,116.24,1372.81,3.17,100
4,100.57,919.06,1.87,100
2,95.63,166.19,0.88,35
2,106.35,402.29,2,70
3,141.92,293.84,1.4,45
2,79.49,184.1,0.14,70
3,109.29,662.11,3.42,80
2,81.8,639.38,0.5,50
3,119.72,477.32,2.9,95
3,111.16,997.81,3.06,90
2,86.8,341.02,0.78,95
2,90.4,247.44,1.67,55
1,57.84,141.65,0.22,30
2,92.24,374.42,0.94,50
2,73.63,161.72,0.27,45
2,95.8,207.78,1.98,50
2,111.4,394.99,0.89,68
3,119.87,1154.41,1.62,90
1,29.72,248.76,0.66,55
1,32.98,384.92,0.95,55
1,27.93,153.01,0.82,70
2,58.19,379.19,6.07,58
2,62.5,108.56,4.68,40
2,111.68,253.86,1,60
2,75.48,59.14,0.05,50
2,58.69,386.34,0.84,80
2,70.58,139.46,0.46,60
2,100.34,73.76,1.73,75
3,121.85,1156.73,5.5,100
4,124.63,1722,5.2,100
4,97.71,1148.46,2.25,100
3,121.6,609.63,4.53,90
3,110.8,662.5,1.41,80
3,85.87,741.16,1.65,85
2,43.44,257,1.13,70
3,115.54,282.32,1.14,70
2,65.65,345.43,2.34,76
2,85.2,186.63,0.61,85
2,61.34,114,0.21,67
1,27.58,14,4.17,33
3,77.24,678,13.32,48
2,48.59,492.97,4.34,31
2,45.39,191.96,1.99,72
3,77.89,594.66,8.74,53
2,41.72,496.74,9.82,70
2,17.54,234.57,17.78,64
2,17.8,344.22,7.66,56
2,15.3,161,0.7,65
3,27.53,278.76,34.03,60
2,17.81,215.48,36.26,56
1,48,0,0,22
1,30.08,125.12,24,44
2,70.13,32.43,4.45,42
2,63.16,20,0,37
1,38.81,90.99,0.05,35
1,35.92,8,2.45,50
1,0,0.2,0,17
1,35.85,312.74,0.61,70
2,60.85,367.16,1.47,71
2,55.66,274.4,0.38,65
2,70.84,560.53,2.24,78
2,56.81,86.73,0.55,50
3,55.7,123.18,0.3,4
