RANK_2025,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
2,84,86.3,58.6,99.6,23.1,19.6,73.7,73.5,80.3
2,44.7,99.6,95.9,86.1,99.1,98,89.6,97.7,54.8
2,81.1,50.3,56.7,99.7,100,95.4,46.7,65.4,77.6
2,75.3,95.4,54.7,99.5,95,15.9,91.8,55.5,30.7
2,74.4,83,39.4,79.7,100,91.4,93.7,54.8,99.1
2,98.8,99,94.2,39.3,15.9,19,85.7,72.8,85.2
3,84,68,97.6,67.7,45.4,52,89.4,96.8,55.4
3,67.2,97,35.1,69.4,100,100,81.2,99.6,91.3
3,87.7,91,60.2,96.2,21.1,10.9,46.8,63.3,60.3
3,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9
3,83.8,52.1,21.4,92.2,96,87.5,96.3,79.8,38.2
3,81.5,97,84.2,44.1,20.7,51.2,78.7,87.8,88.9
3,68,35.6,65,94.9,100,91.9,78.9,64.5,77.4
3,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5
3,92.2,86.6,38.5,50,75.1,37.6,95.5,66.9,62.2
3,82.9,95.1,75.7,29.1,60.2,64.2,91.8,69.3,83.6
3,86,74.7,100,35.1,16.3,61,93.3,85.5,75
3,60.9,30.8,89.5,100,100,100,62.9,37.5,72.9
3,84.6,49.6,7.1,91,93.8,47.7,99.5,75.3,51.2
3,87.2,52,43,72.3,33.8,46.7,99.8,79.7,87.6
3,82.2,44.7,15.5,66.9,100,84,87.4,92.9,99.7
3,93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7,52.1
3,78.2,93.8,73,45,15.2,45.7,65.7,89,85.2
3,93.4,92.1,25.5,44.3,16.7,27.4,71.5,99.9,90
3,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7
3,83.9,75.7,6.4,77.5,14,56.3,90.4,81.7,65
3,94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8,51.8
3,89.3,57.8,50.8,67,54.6,44.3,95.5,21.7,44.3
3,60.7,99.1,99.8,35,35.7,58.6,98.6,70.8,72.6
3,45.2,55.6,62.3,86.1,92,65.9,91.1,62.4,94.8
3,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6
4,81.9,55.5,28.6,78.8,11,32.8,95.6,68.7,66.5
4,55.5,41.8,13.1,98.8,100,99.8,94.2,78,50.8
4,77.4,67.7,38,32.5,95.7,99.4,97.6,33.5,98.5
4,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6
4,68.9,69,39,40.5,92.6,89.3,97.5,44.5,96.8
4,50.1,44.3,40.7,83.4,92.5,98,97.1,49.2,96.9
4,56,38.9,17.9,87,100,99.3,93.6,51.5,95.7
4,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8
4,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6
4,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2
4,82.4,87,45.2,54.9,23.9,12.2,68.2,33,68
4,69.5,47.4,20.2,58.4,99.3,88,91.3,88.6,57.7
4,43.9,55,9.8,97.7,96.6,86,91.4,40.2,96.3
4,59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4,98.6
4,76.6,64.5,25,55.4,25.1,28,97.9,61.9,96.5
4,63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1,90.1
4,92.8,74.6,21.4,28.5,6.8,2.1,95.9,97.9,93.6
4,93.7,98,23.7,8.8,26,3.7,82.5,99.9,79.3
4,78,82.3,99.7,4.1,19.7,91.5,88.1,95.8,3.5
4,97,94.4,37.4,2.4,7.5,2.3,93.2,93.2,83.4
4,57,42.2,39.1,61.3,98.3,71,96,70,97.6
4,80.3,56.9,5,71.7,62.4,43.7,93.1,32.8,31.3
4,45.9,80,99.9,96.9,27.6,2.7,26.6,11,36.6
4,46.6,93.7,6.3,71.9,48.6,85.5,86.1,33.4,84.8
4,74,31.6,99.8,23.1,84.9,15.6,98.2,90.8,73.2
