Class,g1,g2,g3,g4
2,98.59,570.1,1.04,66
3,73.4,505.59,2.55,80
2,58.47,29.44,0.15,40
2,79.64,103.22,0.19,15
3,74.31,2222.9,0.97,37
2,71.1,739.18,0.35,73
3,81.18,675.11,1.14,63
3,75.63,362.4,0.14,95
2,68.13,658.51,0.56,61
2,57.77,259.72,6.62,36
3,89.8,830.38,8.64,62
2,72.32,37.98,0.43,29
1,0,0,0,0
1,22.43,4.69,0,5
2,67.9,17.58,0.18,27
2,70.44,276.51,0.76,70
1,48.02,512.78,0.73,45
1,50.8,506.43,2.16,74
